ticker,name,market,sector,source
A,Agilent Technologies,,Health Care,sp500
AAPL,Apple Inc.,,Information Technology,nasdaq100;sp500
ABBV,AbbVie,,Health Care,sp500
ABNB,Airbnb,,Consumer Discretionary,nasdaq100;sp500
ABT,Abbott Laboratories,,Health Care,sp500
ACGL,Arch Capital Group,,Financials,sp500
ACN,Accenture,,Information Technology,sp500
ADBE,Adobe Inc.,,Information Technology,nasdaq100;sp500
ADI,Analog Devices,,Information Technology,nasdaq100;sp500
ADM,Archer Daniels Midland,,Consumer Staples,sp500
ADP,Automatic Data Processing,,Industrials,nasdaq100;sp500
ADSK,Autodesk,,Information Technology,nasdaq100;sp500
AEE,Ameren,,Utilities,sp500
AEP,American Electric Power,,Utilities,nasdaq100;sp500
AES,AES Corporation,,Utilities,sp500
AFL,Aflac,,Financials,sp500
AIG,American International Group,,Financials,sp500
AIZ,Assurant,,Financials,sp500
AJG,Arthur J. Gallagher & Co.,,Financials,sp500
AKAM,Akamai Technologies,,Information Technology,sp500
ALB,Albemarle Corporation,,Materials,sp500
ALGN,Align Technology,,Health Care,sp500
ALL,Allstate,,Financials,sp500
ALLE,Allegion,,Industrials,sp500
ALNY,Alnylam Pharmaceuticals,,,nasdaq100
AMAT,Applied Materials,,Information Technology,nasdaq100;sp500
AMCR,Amcor,,Materials,sp500
AMD,Advanced Micro Devices,US,Semiconductor,custom;nasdaq100;sp500
AME,Ametek,,Industrials,sp500
AMGN,Amgen,,Health Care,nasdaq100;sp500
AMP,Ameriprise Financial,,Financials,sp500
AMT,American Tower,,Real Estate,sp500
AMZN,Amazon,,Consumer Discretionary,nasdaq100;sp500
ANET,Arista Networks,,Information Technology,sp500
AON,Aon plc,,Financials,sp500
AOS,A. O. Smith,,Industrials,sp500
APA,APA Corporation,,Energy,sp500
APD,Air Products,,Materials,sp500
APH,Amphenol,,Information Technology,sp500
APO,Apollo Global Management,,Financials,sp500
APP,AppLovin,,Information Technology,nasdaq100;sp500
APTV,Aptiv,,Consumer Discretionary,sp500
ARE,Alexandria Real Estate Equities,,Real Estate,sp500
ARES,Ares Management,,Financials,sp500
ARM,Arm Holdings,,,nasdaq100
ASML,ASML Holding,,,nasdaq100
ATO,Atmos Energy,,Utilities,sp500
AVB,AvalonBay Communities,,Real Estate,sp500
AVGO,Broadcom,US,Semiconductor,custom;nasdaq100;sp500
AVY,Avery Dennison,,Materials,sp500
AWK,American Water Works,,Utilities,sp500
AXON,Axon Enterprise,,Industrials,nasdaq100;sp500
AXP,American Express,,Financials,sp500
AZO,AutoZone,,Consumer Discretionary,sp500
BA,Boeing,,Industrials,sp500
BAC,Bank of America,,Financials,sp500
BALL,Ball Corporation,,Materials,sp500
BAX,Baxter International,,Health Care,sp500
BBY,Best Buy,,Consumer Discretionary,sp500
BDX,Becton Dickinson,,Health Care,sp500
BEN,Franklin Resources,,Financials,sp500
BF-B,Brown–Forman,,Consumer Staples,sp500
BG,Bunge Global,,Consumer Staples,sp500
BIIB,Biogen,,Health Care,sp500
BKNG,Booking Holdings,,Consumer Discretionary,nasdaq100;sp500
BKR,Baker Hughes,,Energy,nasdaq100;sp500
BLDR,Builders FirstSource,,Industrials,sp500
BLK,BlackRock,,Financials,sp500
BMY,Bristol Myers Squibb,,Health Care,sp500
BNY,BNY Mellon,,Financials,sp500
BR,Broadridge Financial Solutions,,Industrials,sp500
BRK-B,Berkshire Hathaway,,Financials,sp500
BRO,Brown & Brown,,Financials,sp500
BSX,Boston Scientific,,Health Care,sp500
BX,Blackstone Inc.,,Financials,sp500
BXP,"BXP, Inc.",,Real Estate,sp500
C,Citigroup,,Financials,sp500
CAG,Conagra Brands,,Consumer Staples,sp500
CAH,Cardinal Health,,Health Care,sp500
CARR,Carrier Global,,Industrials,sp500
CASY,Casey's,,Consumer Staples,sp500
CAT,Caterpillar Inc.,,Industrials,sp500
CB,Chubb Limited,,Financials,sp500
CBOE,Cboe Global Markets,,Financials,sp500
CBRE,CBRE Group,,Real Estate,sp500
CCEP,Coca-Cola Europacific Partners,,,nasdaq100
CCI,Crown Castle,,Real Estate,sp500
CCL,Carnival Corporation,,Consumer Discretionary,sp500
CDNS,Cadence Design Systems,,Information Technology,nasdaq100;sp500
CDW,CDW Corporation,,Information Technology,sp500
CEG,Constellation Energy,,Utilities,nasdaq100;sp500
CF,CF Industries,,Materials,sp500
CFG,Citizens Financial Group,,Financials,sp500
CHD,Church & Dwight,,Consumer Staples,sp500
CHRW,C.H. Robinson,,Industrials,sp500
CHTR,Charter Communications,,Communication Services,nasdaq100;sp500
CI,Cigna,,Health Care,sp500
CIEN,Ciena,,Information Technology,sp500
CINF,Cincinnati Financial,,Financials,sp500
CL,Colgate-Palmolive,,Consumer Staples,sp500
CLX,Clorox,,Consumer Staples,sp500
CMCSA,Comcast,,Communication Services,nasdaq100;sp500
CME,CME Group,,Financials,sp500
CMG,Chipotle Mexican Grill,,Consumer Discretionary,sp500
CMI,Cummins,,Industrials,sp500
CMS,CMS Energy,,Utilities,sp500
CNC,Centene Corporation,,Health Care,sp500
CNP,CenterPoint Energy,,Utilities,sp500
COF,Capital One,,Financials,sp500
COHR,Coherent Corp.,,Information Technology,sp500
COIN,Coinbase,,Financials,sp500
COO,Cooper Companies (The),,Health Care,sp500
COP,ConocoPhillips,,Energy,sp500
COR,Cencora,,Health Care,sp500
COST,Costco,,Consumer Staples,nasdaq100;sp500
CPAY,Corpay,,Financials,sp500
CPB,Campbell's Company (The),,Consumer Staples,sp500
CPRT,Copart,,Industrials,nasdaq100;sp500
CPT,Camden Property Trust,,Real Estate,sp500
CRH,CRH plc,,Materials,sp500
CRL,Charles River Laboratories,,Health Care,sp500
CRM,Salesforce,,Information Technology,sp500
CRWD,CrowdStrike,,Information Technology,nasdaq100;sp500
CSCO,Cisco,,Information Technology,nasdaq100;sp500
CSGP,CoStar Group,,Real Estate,sp500
CSX,CSX Corporation,,Industrials,nasdaq100;sp500
CTAS,Cintas,,Industrials,nasdaq100;sp500
CTSH,Cognizant,,Information Technology,nasdaq100;sp500
CTVA,Corteva,,Materials,sp500
CVNA,Carvana,,Consumer Discretionary,sp500
CVS,CVS Health,,Health Care,sp500
CVX,Chevron Corporation,,Energy,sp500
D,Dominion Energy,,Utilities,sp500
DAL,Delta Air Lines,,Industrials,sp500
DASH,DoorDash,,Consumer Discretionary,nasdaq100;sp500
DD,DuPont,,Materials,sp500
DDOG,Datadog,,Information Technology,nasdaq100;sp500
DE,Deere & Company,,Industrials,sp500
DECK,Deckers Brands,,Consumer Discretionary,sp500
DELL,Dell Technologies,,Information Technology,sp500
DG,Dollar General,,Consumer Staples,sp500
DGX,Quest Diagnostics,,Health Care,sp500
DHI,D. R. Horton,,Consumer Discretionary,sp500
DHR,Danaher Corporation,,Health Care,sp500
DIS,Walt Disney Company (The),,Communication Services,sp500
DLR,Digital Realty,,Real Estate,sp500
DLTR,Dollar Tree,,Consumer Staples,sp500
DOC,Healthpeak Properties,,Real Estate,sp500
DOV,Dover Corporation,,Industrials,sp500
DOW,Dow Inc.,,Materials,sp500
DPZ,Domino's,,Consumer Discretionary,sp500
DRI,Darden Restaurants,,Consumer Discretionary,sp500
DTE,DTE Energy,,Utilities,sp500
DUK,Duke Energy,,Utilities,sp500
DVA,DaVita,,Health Care,sp500
DVN,Devon Energy,,Energy,sp500
DXCM,Dexcom,,Health Care,nasdaq100;sp500
EA,Electronic Arts,,Communication Services,nasdaq100;sp500
EBAY,eBay Inc.,,Consumer Discretionary,sp500
ECL,Ecolab,,Materials,sp500
ED,Consolidated Edison,,Utilities,sp500
EFX,Equifax,,Industrials,sp500
EG,Everest Group,,Financials,sp500
EIX,Edison International,,Utilities,sp500
EL,Estée Lauder Companies (The),,Consumer Staples,sp500
ELV,Elevance Health,,Health Care,sp500
EME,Emcor,,Industrials,sp500
EMR,Emerson Electric,,Industrials,sp500
EOG,EOG Resources,,Energy,sp500
EQIX,Equinix,,Real Estate,sp500
EQR,Equity Residential,,Real Estate,sp500
EQT,EQT Corporation,,Energy,sp500
ERIE,Erie Indemnity,,Financials,sp500
ES,Eversource Energy,,Utilities,sp500
ESS,Essex Property Trust,,Real Estate,sp500
ETN,Eaton Corporation,,Industrials,sp500
ETR,Entergy,,Utilities,sp500
EVRG,Evergy,,Utilities,sp500
EW,Edwards Lifesciences,,Health Care,sp500
EXC,Exelon,,Utilities,nasdaq100;sp500
EXE,Expand Energy,,Energy,sp500
EXPD,Expeditors International,,Industrials,sp500
EXPE,Expedia Group,,Consumer Discretionary,sp500
EXR,Extra Space Storage,,Real Estate,sp500
F,Ford Motor Company,,Consumer Discretionary,sp500
FANG,Diamondback Energy,,Energy,nasdaq100;sp500
FAST,Fastenal,,Industrials,nasdaq100;sp500
FCX,Freeport-McMoRan,,Materials,sp500
FDS,FactSet,,Financials,sp500
FDX,FedEx,,Industrials,sp500
FDXF,FedEx Freight,,Industrials,sp500
FE,FirstEnergy,,Utilities,sp500
FER,Ferrovial,,,nasdaq100
FFIV,"F5, Inc.",,Information Technology,sp500
FICO,Fair Isaac,,Information Technology,sp500
FIS,Fidelity National Information Services,,Financials,sp500
FISV,Fiserv,,Financials,sp500
FITB,Fifth Third Bancorp,,Financials,sp500
FIX,Comfort Systems USA,,Industrials,sp500
FOX,Fox Corporation (Class B),,Communication Services,sp500
FOXA,Fox Corporation (Class A),,Communication Services,sp500
FRT,Federal Realty Investment Trust,,Real Estate,sp500
FSLR,First Solar,,Information Technology,sp500
FTNT,Fortinet,,Information Technology,nasdaq100;sp500
FTV,Fortive,,Industrials,sp500
GD,General Dynamics,,Industrials,sp500
GDDY,GoDaddy,,Information Technology,sp500
GE,GE Aerospace,,Industrials,sp500
GEHC,GE HealthCare,,Health Care,nasdaq100;sp500
GEN,Gen Digital,,Information Technology,sp500
GEV,GE Vernova,,Industrials,sp500
GILD,Gilead Sciences,,Health Care,nasdaq100;sp500
