ticker,name,source,sector
MMM,3M,sp500,Industrials
AOS,A. O. Smith,sp500,Industrials
ABT,Abbott Laboratories,sp500,Health Care
ABBV,AbbVie,sp500,Health Care
ACN,Accenture,sp500,Information Technology
ADBE,Adobe Inc.,sp500,Information Technology
AMD,Advanced Micro Devices,sp500,Information Technology
AES,AES Corporation,sp500,Utilities
AFL,Aflac,sp500,Financials
A,Agilent Technologies,sp500,Health Care
APD,Air Products,sp500,Materials
ABNB,Airbnb,sp500,Consumer Discretionary
AKAM,Akamai Technologies,sp500,Information Technology
ALB,Albemarle Corporation,sp500,Materials
ARE,Alexandria Real Estate Equities,sp500,Real Estate
ALGN,Align Technology,sp500,Health Care
ALLE,Allegion,sp500,Industrials
LNT,Alliant Energy,sp500,Utilities
ALL,Allstate,sp500,Financials
GOOGL,Alphabet Inc. (Class A),sp500,Communication Services
GOOG,Alphabet Inc. (Class C),sp500,Communication Services
MO,Altria,sp500,Consumer Staples
AMZN,Amazon,sp500,Consumer Discretionary
AMCR,Amcor,sp500,Materials
AEE,Ameren,sp500,Utilities
AEP,American Electric Power,sp500,Utilities
AXP,American Express,sp500,Financials
AIG,American International Group,sp500,Financials
AMT,American Tower,sp500,Real Estate
AWK,American Water Works,sp500,Utilities
AMP,Ameriprise Financial,sp500,Financials
AME,Ametek,sp500,Industrials
AMGN,Amgen,sp500,Health Care
APH,Amphenol,sp500,Information Technology
ADI,Analog Devices,sp500,Information Technology
AON,Aon plc,sp500,Financials
APA,APA Corporation,sp500,Energy
APO,Apollo Global Management,sp500,Financials
AAPL,Apple Inc.,sp500,Information Technology
AMAT,Applied Materials,sp500,Information Technology
APP,AppLovin,sp500,Information Technology
APTV,Aptiv,sp500,Consumer Discretionary
ACGL,Arch Capital Group,sp500,Financials
ADM,Archer Daniels Midland,sp500,Consumer Staples
ARES,Ares Management,sp500,Financials
ANET,Arista Networks,sp500,Information Technology
AJG,Arthur J. Gallagher & Co.,sp500,Financials
AIZ,Assurant,sp500,Financials
T,AT&T,sp500,Communication Services
ATO,Atmos Energy,sp500,Utilities
ADSK,Autodesk,sp500,Information Technology
ADP,Automatic Data Processing,sp500,Industrials
AZO,AutoZone,sp500,Consumer Discretionary
AVB,AvalonBay Communities,sp500,Real Estate
AVY,Avery Dennison,sp500,Materials
AXON,Axon Enterprise,sp500,Industrials
BKR,Baker Hughes,sp500,Energy
BALL,Ball Corporation,sp500,Materials
BAC,Bank of America,sp500,Financials
BAX,Baxter International,sp500,Health Care
BDX,Becton Dickinson,sp500,Health Care
BRK-B,Berkshire Hathaway,sp500,Financials
BBY,Best Buy,sp500,Consumer Discretionary
TECH,Bio-Techne,sp500,Health Care
BIIB,Biogen,sp500,Health Care
BLK,BlackRock,sp500,Financials
BX,Blackstone Inc.,sp500,Financials
XYZ,"Block, Inc.",sp500,Financials
BNY,BNY Mellon,sp500,Financials
BA,Boeing,sp500,Industrials
BKNG,Booking Holdings,sp500,Consumer Discretionary
BSX,Boston Scientific,sp500,Health Care
BMY,Bristol Myers Squibb,sp500,Health Care
AVGO,Broadcom,sp500,Information Technology
BR,Broadridge Financial Solutions,sp500,Industrials
BRO,Brown & Brown,sp500,Financials
BF-B,Brown–Forman,sp500,Consumer Staples
BLDR,Builders FirstSource,sp500,Industrials
BG,Bunge Global,sp500,Consumer Staples
BXP,"BXP, Inc.",sp500,Real Estate
CHRW,C.H. Robinson,sp500,Industrials
CDNS,Cadence Design Systems,sp500,Information Technology
CPT,Camden Property Trust,sp500,Real Estate
CPB,Campbell's Company (The),sp500,Consumer Staples
COF,Capital One,sp500,Financials
CAH,Cardinal Health,sp500,Health Care
CCL,Carnival Corporation,sp500,Consumer Discretionary
CARR,Carrier Global,sp500,Industrials
CVNA,Carvana,sp500,Consumer Discretionary
CASY,Casey's,sp500,Consumer Staples
CAT,Caterpillar Inc.,sp500,Industrials
CBOE,Cboe Global Markets,sp500,Financials
CBRE,CBRE Group,sp500,Real Estate
CDW,CDW Corporation,sp500,Information Technology
COR,Cencora,sp500,Health Care
CNC,Centene Corporation,sp500,Health Care
CNP,CenterPoint Energy,sp500,Utilities
CF,CF Industries,sp500,Materials
CRL,Charles River Laboratories,sp500,Health Care
SCHW,Charles Schwab Corporation,sp500,Financials
CHTR,Charter Communications,sp500,Communication Services
CVX,Chevron Corporation,sp500,Energy
CMG,Chipotle Mexican Grill,sp500,Consumer Discretionary
CB,Chubb Limited,sp500,Financials
CHD,Church & Dwight,sp500,Consumer Staples
CIEN,Ciena,sp500,Information Technology
CI,Cigna,sp500,Health Care
CINF,Cincinnati Financial,sp500,Financials
CTAS,Cintas,sp500,Industrials
CSCO,Cisco,sp500,Information Technology
C,Citigroup,sp500,Financials
CFG,Citizens Financial Group,sp500,Financials
CLX,Clorox,sp500,Consumer Staples
CME,CME Group,sp500,Financials
CMS,CMS Energy,sp500,Utilities
KO,Coca-Cola Company (The),sp500,Consumer Staples
CTSH,Cognizant,sp500,Information Technology
COHR,Coherent Corp.,sp500,Information Technology
COIN,Coinbase,sp500,Financials
CL,Colgate-Palmolive,sp500,Consumer Staples
CMCSA,Comcast,sp500,Communication Services
FIX,Comfort Systems USA,sp500,Industrials
CAG,Conagra Brands,sp500,Consumer Staples
COP,ConocoPhillips,sp500,Energy
ED,Consolidated Edison,sp500,Utilities
STZ,Constellation Brands,sp500,Consumer Staples
CEG,Constellation Energy,sp500,Utilities
COO,Cooper Companies (The),sp500,Health Care
CPRT,Copart,sp500,Industrials
GLW,Corning Inc.,sp500,Information Technology
CPAY,Corpay,sp500,Financials
CTVA,Corteva,sp500,Materials
CSGP,CoStar Group,sp500,Real Estate
COST,Costco,sp500,Consumer Staples
CRH,CRH plc,sp500,Materials
CRWD,CrowdStrike,sp500,Information Technology
CCI,Crown Castle,sp500,Real Estate
CSX,CSX Corporation,sp500,Industrials
CMI,Cummins,sp500,Industrials
